_id,title,author,price,image,description,__v,genere
65d1a908420278b9de224821,The Catcher in the Rye,J.D. Salinger,1800,https://res.cloudinary.com/dcdednhri/image/upload/v1708239113/local-uploads/image-1708239110645.png,"The Catcher in the Rye is a classic novel that explores the challenges of adolescence and the journey to self-discovery. Follow the protagonist, Holden Caulfield, as he navigates the complexities of life and society.",0,Fiction
65d1a989420278b9de224823,To Kill a Mockingbird,Harper Lee,1500,https://res.cloudinary.com/dcdednhri/image/upload/v1708239242/local-uploads/image-1708239239687.png,To Kill a Mockingbird is a powerful novel that addresses issues of racial injustice and moral growth in the American South. Harper Lee's masterpiece continues to resonate with readers for its timeless themes.,0,Historical Fiction
65d1a9bc420278b9de224825,The Great Gatsby,F. Scott Fitzgerald,1450,https://res.cloudinary.com/dcdednhri/image/upload/v1708239292/local-uploads/image-1708239290174.png,"The Great Gatsby is a classic tale of wealth, love, and the American Dream set in the Roaring Twenties. F. Scott Fitzgerald's elegant prose captures the essence of the Jazz Age.",0,Classic
65d1a9f5420278b9de224827,1984,George Orwell,1200,http://res.cloudinary.com/djgweeuce/image/upload/v1709455489/gxvvfis5wwios74j3kqr.jpg,"1984 is a dystopian novel that paints a grim picture of a totalitarian future. George Orwell's prophetic work explores themes of surveillance, censorship, and the power of the state.",0,Dystopian
65e46f2f20fa6ae41e360e47,Pride and Prejudice,Jane Austen,1350,http://res.cloudinary.com/djgweeuce/image/upload/v1709469487/xrsxcelkul2zhlb6cn9b.jpg,Pride and Prejudice is a beloved classic that unfolds the romantic journey of Elizabeth Bennet and Mr. Darcy. Jane Austen's wit and social observations make it a timeless tale of love and societal expectations.,0,Romance
65e46fef482ad5859f80de81,The Da Vinci Code,Dan Brown,1500,http://res.cloudinary.com/djgweeuce/image/upload/v1709469680/tzfkeyfzfyvy00tnwk9l.jpg,"The Da Vinci Code is a gripping mystery that combines art, history, and conspiracy. Dan Brown's bestseller follows symbologist Robert Langdon as he unravels a web of secrets and enigmas.",0,Mystery
65e4702c3963597e6a668a36,The Lord of the Rings,J.R.R. Tolkien,2000,http://res.cloudinary.com/djgweeuce/image/upload/v1709469740/pubqvuhflc4drox38rca.gif,The Lord of the Rings is an epic fantasy trilogy that follows the quest to destroy the One Ring. J.R.R. Tolkien's richly imagined world and characters have made this series a cornerstone of fantasy literature.,0,Fantasy
65e47054bf071deeb7abd43b,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1850,http://res.cloudinary.com/djgweeuce/image/upload/v1709469780/hoxcvbpbnlkekhpswwni.jpg,Harry Potter and the Sorcerer's Stone introduces readers to the magical world of Hogwarts. J.K. Rowling's enchanting tale follows the young wizard Harry Potter as he discovers his destiny and battles the forces of darkness.,0,Fantasy
65e47085e026e272114ebf32,The Hunger Games,Suzanne Collins,1650,http://res.cloudinary.com/djgweeuce/image/upload/v1709469829/zacroh38ah9mpebq0wkx.jpg,"The Hunger Games is a gripping dystopian novel that follows Katniss Everdeen in a brutal televised competition for survival. Suzanne Collins' thrilling narrative explores themes of sacrifice, rebellion, and resilience.",0,Dystopian
65e470d05614b2c08d04779e,Harry Potter and the Chamber of Secrets,J. K. Rowling,1500,http://res.cloudinary.com/djgweeuce/image/upload/v1709469903/iw0exffolzt0hs1z5yrk.jpg,"Harry Potter and the Chamber of Secrets is a fantasy novel written by British author J. K. Rowling and the second novel in the Harry Potter series. The plot follows Harry's second year at Hogwarts School of Witchcraft and Wizardry, during which a series of messages on the walls of the school's corridors warn that the \""Chamber of Secrets\"" has been opened and that the \""heir of Slytherin\"" would kill all pupils who do not come from all-magical families. These threats are found after attacks that leave residents of the school petrified. Throughout the year, Harry and his friends Ron and Hermione investigate the attacks.",0,Fantasy
